iter	Passed	Remaining
157	330	1759
158	331	1751
159	332	1743
160	332	1733
161	333	1725
162	334	1717
163	335	1709
164	336	1701
165	337	1693
166	338	1686
167	338	1678
168	340	1672
169	341	1665
170	342	1658
171	342	1651
172	343	1644
173	344	1637
174	345	1630
175	346	1623
176	347	1616
177	348	1609
178	349	1602
179	350	1596
180	351	1589
181	352	1582
182	353	1576
183	354	1570
184	355	1564
185	356	1559
186	357	1552
187	358	1546
188	358	1540
189	359	1534
190	360	1528
191	361	1522
192	362	1516
193	363	1510
194	364	1505
195	365	1499
196	366	1493
197	367	1488
198	368	1482
199	369	1477
200	370	1473
201	371	1467
202	372	1462
203	373	1456
204	374	1451
205	375	1445
206	375	1440
207	376	1434
208	377	1429
209	378	1424
210	379	1419
211	380	1414
212	381	1409
213	382	1404
214	383	1399
215	384	1395
216	385	1391
217	386	1386
218	387	1381
219	388	1376
220	389	1372
221	390	1367
222	391	1362
223	391	1357
224	392	1353
225	393	1348
226	394	1344
227	395	1339
228	396	1334
229	397	1330
230	398	1327
231	399	1323
232	401	1320
233	402	1316
234	403	1312
235	404	1309
236	405	1305
237	406	1302
238	407	1298
239	408	1294
240	409	1291
241	410	1287
242	412	1283
243	412	1279
244	414	1276
245	415	1272
246	416	1268
247	416	1264
248	417	1259
249	418	1255
250	419	1251
251	420	1247
252	421	1243
253	422	1240
254	423	1236
255	424	1232
256	424	1228
257	425	1224
258	426	1220
259	427	1217
260	428	1214
261	430	1211
262	431	1207
263	431	1204
264	432	1200
265	433	1196
266	434	1193
267	435	1189
268	436	1185
269	437	1182
270	438	1178
271	439	1175
272	440	1171
273	440	1168
274	441	1164
275	442	1161
276	444	1159
277	444	1155
278	445	1152
279	446	1148
280	447	1145
281	448	1142
282	449	1139
283	450	1135
284	451	1132
285	452	1129
286	453	1126
287	454	1123
288	455	1120
289	456	1117
290	457	1114
291	458	1111
292	459	1108
293	460	1105
294	461	1102
295	462	1099
296	463	1096
297	464	1093
298	464	1090
299	465	1086
300	466	1083
301	467	1080
302	468	1077
303	469	1075
304	470	1072
305	471	1069
306	472	1067
307	473	1064
308	474	1061
309	475	1058
310	476	1055
311	477	1052
312	478	1049
313	479	1047
314	480	1044
315	481	1041
316	482	1038
317	483	1035
318	483	1033
319	484	1030
320	485	1027
321	486	1025
322	488	1023
323	489	1020
324	490	1018
325	491	1015
326	492	1013
327	493	1011
328	494	1008
329	495	1006
330	496	1004
331	497	1001
332	498	998
333	499	996
334	500	994
335	501	991
336	502	989
337	503	986
338	504	984
339	505	982
340	506	979
341	507	976
342	508	974
343	509	972
344	510	969
345	511	967
346	512	964
347	513	962
348	514	960
349	515	958
350	516	955
351	517	953
352	518	951
353	519	948
354	520	946
355	521	943
356	522	941
357	524	939
358	525	937
359	526	935
360	527	933
361	528	931
362	529	929
363	530	926
364	531	925
365	532	922
366	533	920
367	534	918
368	535	915
369	536	913
370	537	910
371	538	908
372	539	906
373	540	904
374	541	901
375	541	899
376	542	896
377	543	894
378	544	892
379	546	890
380	547	889
381	548	886
382	549	884
383	550	882
384	551	880
385	552	878
386	552	875
387	553	873
388	554	871
389	555	869
390	556	867
391	557	864
392	558	862
393	559	860
394	561	859
395	562	857
396	563	855
397	564	853
398	565	851
399	566	849
400	567	847
401	568	844
402	568	842
403	569	840
404	570	838
405	571	836
406	572	834
407	573	832
408	574	829
409	575	828
410	577	827
411	578	824
412	579	822
413	579	820
414	580	818
415	581	816
416	582	814
417	583	812
418	584	810
419	585	808
420	586	806
421	587	804
422	588	802
423	589	800
424	590	798
425	591	797
426	592	795
427	593	793
428	594	791
429	595	789
430	596	787
431	597	785
432	598	783
433	599	781
434	600	779
435	601	777
436	602	775
437	603	773
438	604	772
439	605	770
440	606	769
441	607	767
442	608	765
443	609	763
444	610	761
445	611	759
446	612	757
447	613	755
448	614	753
449	615	751
450	615	749
451	616	747
452	617	745
453	618	744
454	620	743
455	621	741
456	622	739
457	623	737
458	624	735
459	625	734
460	626	732
461	627	730
462	628	728
463	628	726
464	629	724
465	630	722
466	631	721
467	632	719
468	634	717
469	635	716
470	636	714
471	637	712
472	638	711
473	638	709
474	639	707
475	640	705
